gender,Title_MRS,Unit_Location_CAULFIELD,Unit_Location_CLAYTON,Class_ON-CAMPUS,fail,d_hd,hd,a1_ratio,a2_ratio,a3_ratio
0,0,0,1,1,0,1,0,0.9970000000000001,0.86,0.73
0,0,0,1,1,0,0,0,0.728,0.8,0.72
0,0,0,1,1,0,1,0,1.0,0.8133333333333332,0.72
1,0,0,1,1,0,0,0,0.9949999999999999,0.8466666666666666,0.63
1,0,0,1,1,0,1,0,0.968,0.9133333333333333,0.7852
1,0,0,1,1,0,1,0,0.983,0.86,0.8452
1,0,0,1,1,0,1,0,1.0,0.8466666666666666,0.7051999999999999
1,0,0,1,1,0,1,0,0.992,0.8333333333333334,0.64
1,0,0,1,1,0,1,0,0.9640000000000001,0.7533333333333334,0.8
1,0,0,1,1,0,0,0,0.9970000000000001,0.8266666666666667,0.7252
1,0,0,1,1,0,1,0,0.869,0.8333333333333334,0.7852
0,0,0,1,1,0,1,0,0.9789999999999999,0.8533333333333334,0.8552
0,0,0,1,1,0,1,0,0.985,0.8666666666666667,0.8
0,0,0,1,1,0,0,0,0.9890000000000001,0.76,0.8552
0,0,0,1,1,0,0,0,0.787,0.7200000000000001,0.71
0,0,0,1,1,0,1,0,0.9949999999999999,0.7666666666666667,0.74
1,0,0,1,1,0,0,0,0.629,0.5866666666666667,0.5452
0,0,0,1,1,0,0,0,0.577,0.722,0.5552
0,0,0,1,1,0,0,0,0.739,0.8046666666666666,0.68
1,0,0,1,1,0,1,0,0.9970000000000001,0.88,0.65
1,0,0,1,1,0,1,0,0.967,0.8333333333333334,0.65
0,0,0,1,1,1,0,0,0.9970000000000001,0.76,0.76
0,0,0,1,1,0,0,0,0.9869999999999999,0.88,0.6052000000000001
1,0,0,1,1,0,1,1,0.975,0.8333333333333334,0.94
0,0,0,1,1,0,1,0,0.9189999999999999,0.7200000000000001,0.7252
1,0,0,1,1,0,1,0,0.9890000000000001,0.8466666666666666,0.7552
1,0,0,1,1,0,1,0,0.883,0.8,0.7352
0,0,0,1,1,0,0,0,0.993,0.9666666666666667,0.7
0,0,0,1,1,0,1,0,0.992,0.9066666666666666,0.7252
0,0,0,1,1,0,0,0,0.9949999999999999,0.8466666666666666,0.7
1,0,0,1,1,0,0,0,0.673,0.6799999999999999,0.6552
0,0,0,1,1,0,0,0,1.0,0.76,0.76
1,0,0,1,1,0,1,0,0.908,0.8466666666666666,0.7
0,0,0,1,1,0,1,1,0.992,0.8333333333333334,0.9052
0,0,0,1,1,0,1,0,1.0,0.7666666666666667,0.7652
0,0,0,1,1,0,1,0,0.9949999999999999,0.7666666666666667,0.8151999999999999
1,0,0,1,1,0,1,0,0.9369999999999999,0.8333333333333334,0.6851999999999999
1,0,0,1,1,0,1,0,0.991,0.86,0.7752
0,0,0,1,1,0,0,0,0.192,0.43,0.83
0,0,0,1,1,0,1,0,1.0,0.88,0.74
1,0,0,1,1,1,0,0,0.9869999999999999,0.88,0.56
1,0,0,1,1,0,0,0,0.992,0.8266666666666667,0.71
0,0,0,1,1,0,1,0,0.9349999999999999,0.5266666666666667,0.65
1,0,0,1,1,0,1,0,0.9550000000000001,0.8333333333333334,0.8251999999999999
1,0,0,1,1,0,0,0,0.9279999999999999,0.7133333333333333,0.74
1,0,0,1,1,0,1,0,0.893,0.92,0.73
1,0,0,1,1,0,1,0,0.975,0.8266666666666667,0.6951999999999999
0,0,0,1,1,0,1,0,0.9890000000000001,0.92,0.68
1,0,0,1,1,0,1,0,0.9949999999999999,0.6533333333333334,0.7152
0,0,0,1,1,0,1,0,0.985,1.0,0.7
1,0,0,1,1,0,1,0,1.0,0.86,0.82
0,0,0,1,1,0,0,0,0.9869999999999999,0.7799999999999999,0.83
1,0,1,0,1,0,0,0,0.945,0.92,0.7
0,0,1,0,1,0,0,0,0.697,0.502,0.59
1,0,1,0,1,0,0,0,0.977,0.8133333333333332,0.43
0,0,1,0,1,0,1,0,0.9949999999999999,0.88,0.72
1,0,1,0,1,0,0,0,0.6990000000000001,0.762,0.6552
1,0,1,0,0,0,0,0,0.45499999999999996,0.642,0.55
1,0,1,0,0,0,0,0,0.43899999999999995,0.5086666666666667,0.6052000000000001
0,0,1,0,0,0,0,0,0.905,0.8933333333333333,0.72
0,0,1,0,1,0,1,1,0.693,0.76,0.7352
1,0,1,0,1,0,1,0,0.9730000000000001,0.8533333333333334,0.7
1,0,1,0,0,0,1,0,0.908,0.7246666666666666,0.66
1,0,1,0,1,0,1,0,0.9869999999999999,0.9,0.7
0,0,1,0,1,0,1,1,0.96,0.8333333333333334,0.9
0,0,1,0,1,0,0,0,0.9730000000000001,0.84,0.48
1,0,1,0,1,0,0,0,0.9800000000000001,0.7866666666666667,0.72
0,0,1,0,1,0,1,1,1.0,0.8466666666666666,0.81
1,0,1,0,1,0,1,0,1.0,0.8666666666666667,0.92
1,0,1,0,1,0,0,0,0.589,0.7866666666666667,0.59
0,0,1,0,1,0,0,0,0.969,0.84,0.8
1,0,1,0,1,0,1,1,0.9480000000000001,0.9700000000000001,0.91
1,0,1,0,1,0,1,1,0.9970000000000001,0.88,0.7
1,0,1,0,1,0,1,1,0.915,0.8066666666666666,0.77
0,0,1,0,1,0,1,0,1.0,0.8666666666666667,0.77
0,0,1,0,1,0,1,0,0.9349999999999999,0.818,0.75
0,0,1,0,1,0,1,1,0.9890000000000001,0.84,0.83
1,0,1,0,1,0,1,0,0.9800000000000001,0.8133333333333332,0.75
0,0,1,0,1,0,1,0,0.9800000000000001,0.88,0.6152000000000001
0,0,1,0,1,0,1,0,0.8400000000000001,0.6933333333333334,0.8351999999999999
1,0,1,0,1,0,1,1,0.9949999999999999,0.84,0.9
0,0,1,0,1,0,0,0,0.775,0.6579999999999999,0.88
1,0,1,0,1,1,0,0,0.975,0.8866666666666667,0.71
0,0,1,0,1,0,0,0,0.992,0.86,0.7252
0,0,1,0,1,0,1,1,1.0,0.8733333333333333,0.79
1,0,1,0,1,0,1,0,0.9949999999999999,0.88,0.8251999999999999
0,0,1,0,1,0,0,0,0.9949999999999999,0.88,0.81
1,0,1,0,1,1,0,0,0.9789999999999999,0.88,0.7152
0,0,1,0,1,0,0,0,0.585,0.8466666666666666,0.72
0,0,1,0,1,0,1,1,0.9970000000000001,0.84,0.78
0,0,1,0,1,0,1,1,0.9949999999999999,0.8533333333333334,0.87
1,0,1,0,1,0,0,0,0.745,0.6086666666666667,0.71
1,0,1,0,0,0,1,1,0.9570000000000001,0.8766666666666667,0.8
1,0,1,0,1,0,1,1,0.9470000000000001,0.8666666666666667,0.78
0,0,1,0,1,0,0,0,0.9800000000000001,0.8533333333333334,0.59
0,0,1,0,0,0,0,0,0.892,0.9,0.61
1,0,1,0,1,0,0,0,0.8320000000000001,0.7166666666666667,0.75
1,0,1,0,1,0,0,0,0.645,0.8266666666666667,0.43
0,0,1,0,1,0,0,0,0.9869999999999999,0.8313333333333334,0.8
1,0,1,0,1,0,1,0,0.916,0.7566666666666666,0.8
1,0,1,0,1,0,1,0,1.0,0.9,0.7051999999999999
0,0,1,0,1,0,1,0,0.9869999999999999,0.8733333333333333,0.73
1,0,1,0,1,0,1,0,0.9970000000000001,0.84,0.77
0,0,1,0,1,0,1,0,0.9800000000000001,0.8466666666666666,0.79
0,0,1,0,1,0,0,0,1.0,0.84,0.92
1,0,1,0,1,0,0,0,0.45899999999999996,0.8066666666666666,0.74
0,0,1,0,1,0,1,0,0.9970000000000001,0.8566666666666667,0.6452
1,0,1,0,1,0,1,0,0.9970000000000001,0.8313333333333334,0.78
0,0,1,0,1,0,0,0,0.9890000000000001,0.7799999999999999,0.76
1,0,1,0,1,0,0,0,0.917,0.8466666666666666,0.75
0,0,1,0,1,0,1,1,0.992,0.8333333333333334,0.88
1,0,1,0,0,1,0,0,0.48,0.56,0.6
0,0,1,0,1,1,0,0,0.8470000000000001,0.828,0.8051999999999999
0,0,1,0,1,0,0,0,1.0,0.8,0.46
0,0,1,0,1,0,0,0,0.985,0.84,0.73
0,0,1,0,1,0,0,0,0.985,0.7866666666666667,0.71
1,0,1,0,1,0,1,1,0.992,0.88,0.71
0,0,1,0,1,0,0,0,1.0,0.6466666666666666,0.64
0,0,1,0,1,0,1,0,0.9550000000000001,0.84,0.84
0,0,1,0,1,0,1,1,1.0,0.8533333333333334,0.92
0,0,1,0,1,1,0,0,0.841,0.6246666666666666,0.77
0,0,1,0,1,0,1,1,0.8789999999999999,0.7646666666666667,0.9
1,0,1,0,1,0,0,0,0.9490000000000001,0.8266666666666667,0.66
1,0,1,0,1,0,0,0,0.921,0.7253333333333334,0.73
1,0,1,0,0,0,1,0,0.9970000000000001,0.9,0.5652
1,0,1,0,1,0,1,0,0.9970000000000001,0.8933333333333333,0.62
0,0,1,0,1,0,0,0,0.859,0.8113333333333334,0.66
0,0,1,0,1,0,1,0,0.992,0.8533333333333334,0.96
1,0,1,0,1,0,1,0,0.975,0.8533333333333334,0.87
0,0,1,0,1,0,1,0,1.0,0.88,0.7252
1,0,1,0,1,0,1,0,0.96,0.7866666666666667,0.8
0,0,1,0,1,0,0,0,0.605,0.88,0.6352
1,0,1,0,1,0,1,0,1.0,0.7866666666666667,0.65
1,0,1,0,1,0,1,0,0.8310000000000001,0.738,0.78
0,0,1,0,1,0,0,0,0.7969999999999999,0.8533333333333334,0.5652
1,0,1,0,1,0,1,0,0.673,0.7420000000000001,0.8
1,0,1,0,1,0,1,0,0.9949999999999999,0.88,0.53
